,artists,album_name,track_name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,"Pritam, Mika Singh, Shefali Alvares",Desi Boyz,Subha Hone Na De,68,288696,0.727,0.9,8,-4.529,1,0.0452,0.0805,0.0464,0.154,0.505,131.97,4
1,Mika Singh,Mika Di Vohti,Mika Di Vohti,27,208113,0.793,0.868,7,-3.815,1,0.0392,0.0446,6.33e-06,0.398,0.279,120.013,4
2,"Pritam, Mika Singh",Jab We Met,Mauja Hi Mauja,66,245099,0.738,0.873,2,-5.659,1,0.107,0.075,0.0294,0.225,0.484,104.982,4
3,Mika Singh,Honthon Pe Bas,Honthon Pe Bas,39,186274,0.683,0.595,7,-7.288,0,0.0305,0.635,0.000164,0.123,0.47,120.055,4
4,"Neha Kakkar, Mika Singh, Kumar Sanu, Tanishk Bagchi","Aankh Marey (From ""Simmba"")","Aankh Marey (From ""Simmba"")",61,212741,0.796,0.978,5,-1.266,0,0.0955,0.289,0.00254,0.346,0.8,129.999,4
5,Mika Singh,Saawan Mein Lag Gayee Aag,Saawan Mein Lag Gayee Aag,38,248775,0.666,0.988,1,-3.907,1,0.063,0.407,1.45e-05,0.0376,0.66,130.133,4
6,"Sachin-Jigar, Mika Singh, Neha Kakkar","Bijli (From ""Govinda Naam Mera"")",Bijli,64,174000,0.573,0.819,1,-6.246,1,0.256,0.306,1.13e-06,0.0653,0.862,108.786,3
7,"Mika Singh, Ali Quli Mirza",Ishqam,Ishqam,63,194418,0.735,0.839,10,-4.263,0,0.0381,0.129,0.0,0.41,0.609,100.017,4
8,"Mika Singh, Payal Dev, Neha Kakkar, Badshah",Ginny Weds Sunny (Original Motion Picture Soundtrack),Sawan Mein Lag Gayi Aag,61,226615,0.792,0.813,0,-3.687,1,0.0513,0.388,2.29e-05,0.0541,0.868,130.058,4
9,DJ Suketu,Mika Singh Mashup,Mika Singh Mashup,11,183248,0.469,0.87,2,-5.634,1,0.137,0.0102,0.0014,0.32,0.7,126.081,4
10,"Mika Singh, Prakriti Kakar, Gourov-Roshin","Hawa Hawa (From ""Mubarakan"")",Hawa Hawa,57,272290,0.825,0.798,7,-3.792,1,0.321,0.361,0.0,0.194,0.596,137.981,4
11,"Mika Singh, Yo Yo Honey Singh",Mika Singh Is King,Mast Kalander,38,270524,0.747,0.81,0,-5.337,0,0.0497,0.381,1.37e-06,0.118,0.555,110.978,4
12,"Mika Singh, Sachin-Jigar","Milegi Milegi (From ""Stree"")","Milegi Milegi (From ""Stree"")",56,153744,0.843,0.892,2,-4.371,1,0.0527,0.0512,1.13e-06,0.101,0.655,125.991,4
13,"Mika Singh, Biswa Deb",Sajni,Sajni,28,258305,0.665,0.71,11,-6.752,0,0.0311,0.213,0.000543,0.164,0.319,117.994,4
14,Mika Singh,Honthon Pe Bas,Honthon Pe Bas,21,186274,0.683,0.595,7,-7.288,0,0.0305,0.635,0.000164,0.123,0.47,120.055,4
15,"Devi Sri Prasad, Mika Singh, Geetha Madhuri, Velmurugan",Waltair Veerayya (Original Motion Picture Soundtrack),Neekemo Andamekkuva,62,212181,0.932,0.72,10,-8.136,0,0.164,0.236,0.00974,0.0516,0.917,109.986,4
16,"Mika Singh, Bella",Something Something,Something Something,45,292000,0.743,0.662,0,-6.532,1,0.0568,0.00993,7.29e-06,0.279,0.596,99.006,4
17,"Pritam, Mika Singh, Shefali Alvares",Desi Boyz,Tu Mera Hero,55,291841,0.71,0.907,8,-4.274,1,0.0817,0.39,4.91e-06,0.685,0.729,131.989,4
18,"Mika Singh, Bella",Something Something - Jhankar,Something Something,32,292040,0.749,0.758,7,-4.979,1,0.0437,0.0539,0.00245,0.304,0.526,98.989,4
19,"Neha Kakkar, Mika Singh, Kumar Sanu",Simmba,Aankh Marey,54,212741,0.796,0.978,5,-1.266,0,0.0955,0.289,0.00254,0.346,0.8,129.999,4
20,"MIKA, Ariana Grande",Yours Truly,Popular Song,58,200213,0.666,0.81,8,-4.574,1,0.0458,0.152,0.0,0.0613,0.811,99.023,4
21,"Mika Singh, Asees Kaur","Hasina Pagal Deewani (From ""Indoo Ki Jawani"")","Hasina Pagal Deewani (From ""Indoo Ki Jawani"")",49,188824,0.779,0.905,8,-3.391,1,0.0555,0.0205,0.000706,0.342,0.924,129.938,4
22,"Mika Singh, Mista Baaz",Glassiyan,Glassiyan,12,176341,0.759,0.88,8,-1.589,0,0.169,0.315,0.0,0.538,0.642,81.95,4
23,"Pritam, Mika Singh, Amitabh Bhattacharya, Nakash Aziz, Javed Jaffrey",Agent Vinod,Pungi,60,247826,0.939,0.933,10,-2.688,1,0.0819,0.235,1.04e-06,0.0293,0.708,122.994,4
24,"Mika Singh, Tulsi Kumar, Tanishk Bagchi","Ankhiyon Se Goli Mare (From ""Pati Patni Aur Woh"")","Ankhiyon Se Goli Mare (From ""Pati Patni Aur Woh"")",50,206913,0.818,0.972,2,-3.276,1,0.0802,0.318,3.72e-06,0.875,0.668,110.036,4
25,"MIKA, Ariana Grande, Jason Nevins",Popular Song,Popular Song,52,200613,0.644,0.84,8,-4.808,1,0.0418,0.162,0.0,0.0599,0.841,99.036,4
26,"Pritam, Mika Singh",Bajrangi Bhaijaan,Aaj Ki Party,49,280593,0.556,0.926,10,-6.375,0,0.329,0.196,0.0,0.0451,0.707,102.009,3
